番号,4537
名前,사카츠키 미유
呼び名,미유
;BASE
基礎,0,2000;체력
基礎,1,2200;기력
基礎,5,1500;사정
基礎,10,1500;무드
基礎,11,1000;이성
基礎,12,1000;분노
基礎,13,1000;만족
;Talent
素質,0,1;처녀
素質,2,1;성별
素質,12,-1;반응
素質,20,1;자제심
素質,22,1;感情乏しい
素質,23,-1;성적흥미
素質,25,1;일선넘지않음
素質,50,1;습득속도
素質,81,-1;성별嗜好
素質,100,0;체형
素質,117,-1;연령
素質,121,-1;가슴사이즈
素質,140,2;외부자（カード作品外）
素質,190,1;빛속성
素質,191,1;마법사족
;ABL
能力,0,0;C감각
能力,1,0;V감각
能力,2,0;A감각
能力,3,0;B감각
能力,4,0;M감각
能力,9,0;친밀
能力,10,0;순종
能力,11,1;욕망
能力,12,0;기교
能力,13,0;봉사정신
能力,14,0;노출壁
能力,15,0;마조끼
能力,16,0;새드끼
能力,17,0;레즈끼
能力,40,0;清掃技能
能力,41,0;화술기능
能力,42,0;신체능력
能力,43,2;교양
能力,44,0;요리기능
;EXP
;FLAG
フラグ,7,504;服装
フラグ,311,100;開始位置(これは変えない)

CSTR,등장작품,Fate Grand Order
