番号,1341,
名前,퀸 마돌체 티아라미스
呼び名,티아라미스
;BASE
基礎,0,2200;体力
基礎,1,2100;気力
基礎,5,1500;射精
基礎,10,1500;ムード
基礎,11,1000;理性
基礎,12,1000;怒り
基礎,13,1000;満足
;Talent
素質,2,1;성별
素質,11,-1;態度
素質,12,-1;大人しい
素質,13,1;プライド
素質,117,2;年齢
素質,24,1;陽気／陰気
素質,25,1;一線越えない
素質,33,1;羞恥心
素質,40,-1;痛みに強い
素質,56,1;薬物耐性
素質,61,-2;潔癖症
素質,62,1;献身的
素質,80,1;倒錯的
素質,100,-1;体型
素質,102,1;B感度
素質,121,2;バストサイズ
素質,126,1;スイートボディ
素質,149,1;母乳体質
素質,190,3;地
素質,191,10;天使
;ABL
能力,0,0;C감각
能力,1,0;V감각
能力,2,0;A감각
能力,3,4;B감각
能力,9,2;親密
能力,10,2;従順
能力,11,1;욕망
能力,12,2;技巧
能力,13,2;奉仕精神
能力,14,0;露出壁
能力,15,2;マゾっ気
能力,16,0;サドっ気
能力,17,0;레즈っ気
能力,40,0;清掃技能
能力,41,0;話術技能
能力,42,2;身体能力
能力,43,2;教養
能力,44,3;料理技能
;EXP
経験,22,15;자위経験
;FLAG
フラグ,7,106;服装
フラグ,311,100;開始位置(これは変えない)
