番号,2595,
名前,왕도 유보
呼び名,유보,
;BASE
基礎,0,1400;体力
基礎,1,600;気力
基礎,5,1500;射精
基礎,10,1500;ムード
基礎,11,1000;理性
基礎,12,1000;怒り
基礎,13,1000;満足
;Talent
素質,0,1;処女
素質,2,1;성별
素質,7,1;キス未経験
素質,12,1;生意気
素質,13,1;プライド
素質,117,-2;年齢
素質,23,1;性的興味
素質,24,1;陽気
素質,26,1;目立ちたがり
素質,100,-1;体型
素質,103,1;A感度
素質,121,0;バストサイズ
素質,131,1;듀얼리스트
素質,136,1;鼓舞
素質,140,1;外部者
素質,195,1;所属（1=アカデミア 2=その他の学校）
;ABL
能力,0,0;C감각
能力,1,0;V감각
能力,2,0;A감각
能力,3,0;B감각
能力,9,2;親密
能力,10,0;従順
能力,11,3;욕망
能力,12,0;技巧
能力,13,0;奉仕精神
能力,14,0;露出壁
能力,15,0;マゾっ気
能力,16,0;サドっ気
能力,17,0;レズっ気
能力,40,0;清掃技能
能力,41,2;話術技能
能力,42,0;身体能力
能力,43,3;教養
能力,44,0;料理技能
;EXP
;FLAG
フラグ,7,119;服装
フラグ,311,100;開始位置(これは変えない)
CSTR,등장작품,Rush Duel
